match_id,period,goal_time
3754245,2,53
3754136,1,37
3754136,2,60
3754037,1,6
3754037,1,8
3754037,2,63
3754039,1,15
3754039,1,44
3754039,2,81
3754041,1,4
3754041,2,77
3754041,2,79
3754041,2,91
3754042,1,12
3754042,1,22
3754043,1,0
3754043,1,15
3754043,2,51
3754049,2,88
3754050,1,35
3754050,2,60
3754050,2,66
3754050,2,89
3754052,2,49
3754053,1,44
3754053,2,47
3754055,1,31
3754055,2,91
3754226,2,45
3754014,1,18
3754014,1,25
3754091,1,42
3754091,2,68
3754135,1,6
3754135,1,14
3754293,2,52
3754339,1,31
3754339,2,75
3754339,2,82
3754146,1,12
3754146,1,19
3754146,2,50
3754146,2,68
3754255,1,20
3754255,1,29
3754255,2,72
3754255,2,95
3754278,1,27
3754278,1,44
3753979,2,79
3753972,1,9
3753972,1,25
3753972,1,27
3753972,1,38
3753978,1,10
3753978,2,60
3753978,2,82
3753978,2,53
3753974,2,92
3753993,1,25
3753993,1,36
3753993,2,56
3753993,2,87
3753983,2,48
3753983,2,67
3753983,2,72
3754038,1,29
3754038,1,42
3754001,1,41
3754001,2,59
3754001,2,78
3754001,2,85
3754007,1,47
3754008,1,48
3754008,2,45
3754008,2,89
3754029,1,2
3754029,1,45
3754029,2,78
3754029,2,92
3753995,1,9
3753995,1,42
3753995,2,59
3753995,2,71
3753999,2,61
3753999,2,67
3753999,2,73
3754017,2,61
3754017,2,67
3754017,2,86
3754006,1,29
3754006,2,56
3754006,2,63
3754006,2,76
3754006,2,83
3754023,1,23
3754023,2,85
3753984,1,2
3753984,1,28
3753984,2,91
3754011,1,12
3754011,1,33
3754011,2,49
3754011,2,67
3754011,2,85
3754010,1,9
3754010,1,27
3754010,2,61
3754028,1,8
3754028,1,19
3754028,2,48
3754028,2,68
3753996,2,63
3754025,1,4
3754025,1,12
3754025,2,49
3754025,2,51
3754068,1,38
3754056,1,15
3754056,1,21
3754056,1,44
3754056,2,63
3754056,2,70
3754056,2,79
3754056,2,90
3754040,2,47
3754040,2,60
3754074,1,14
3754074,1,26
3754074,2,64
3754074,1,30
3754076,1,9
3754076,1,21
3754076,1,45
3754076,2,59
3754067,1,21
3754067,1,24
3754067,2,87
3754067,2,93
3754079,1,16
3754079,1,41
3754079,2,48
3754079,2,49
3754079,2,52
3754079,2,59
3754079,2,61
3754083,2,64
3754083,2,78
3754083,2,80
3754077,1,5
3754077,1,30
3754077,1,46
3754060,1,40
3754060,1,45
3754073,2,81
3754085,1,4
3754085,1,21
3754085,2,66
3754047,2,61
3754051,1,2
3754051,1,14
3754051,2,84
3754046,2,75
3754046,2,80
3754072,1,3
3754082,1,18
3754082,1,30
3754082,1,48
3754082,2,49
3754082,2,59
3754082,2,61
3754082,2,75
3754082,2,54
3754106,1,38
3754106,2,62
3754106,2,71
3754106,2,81
3754106,2,88
3754099,2,67
3754099,2,88
3754098,1,3
3754098,1,47
3754098,2,73
3754098,2,82
3754057,1,25
3754057,1,41
3754057,2,79
3754112,1,23
3754112,1,41
3754112,2,47
3754112,2,78
3754117,1,7
3754117,1,37
3754104,1,10
3754104,1,27
3754054,1,11
3754054,1,16
3754054,1,21
3754054,2,53
3754054,2,58
3754113,1,43
3754113,2,72
3754107,1,28
3754105,1,40
3754105,2,53
3754105,2,54
3754105,2,74
3754105,2,83
