match_id,period,n_matches,goal_time,home
3901199,1,377,11,1
3901199,1,377,14,1
3901199,2,377,58,0
3901199,2,377,66,1
3901178,1,377,33,1
3901178,2,377,45,0
3901260,1,377,26,1
3829470,1,377,25,1
3829470,2,377,46,1
3901259,1,377,9,1
3901259,2,377,60,0
3901263,1,377,21,0
3901263,2,377,51,0
3901263,2,377,81,1
3900594,1,377,0,1
3900594,1,377,29,1
3900594,2,377,83,0
3900594,2,377,90,0
3900587,2,377,75,1
3900541,2,377,71,0
3900541,2,377,83,0
3900541,2,377,89,1
3900596,2,377,93,1
3900591,1,377,31,1
3900591,1,377,39,1
3900591,2,377,53,1
3900591,2,377,58,0
3900591,2,377,62,1
3900591,2,377,65,1
3901188,2,377,73,1
3901188,2,377,79,1
3901188,2,377,83,1
3901184,1,377,3,0
3901184,1,377,8,0
3901184,1,377,13,0
3901184,1,377,19,1
3901184,2,377,49,1
3901184,2,377,58,0
3901184,2,377,76,0
3901182,2,377,48,1
3901182,2,377,68,1
3901170,1,377,0,1
3901170,1,377,14,1
3901170,1,377,22,1
3901170,1,377,44,1
3901170,2,377,59,0
3901169,2,377,54,0
3901169,2,377,73,1
3901168,2,377,62,1
3901168,2,377,92,1
3900601,1,377,13,0
3900601,1,377,40,0
3900601,2,377,51,0
3900601,2,377,56,0
3901262,1,377,13,1
3901261,1,377,17,1
3901261,1,377,42,1
3901261,2,377,51,1
3901261,2,377,88,1
3901258,1,377,1,0
3901258,1,377,18,1
3901258,1,377,44,0
3901258,2,377,60,0
3901258,2,377,54,1
3901257,1,377,40,0
3901256,1,377,2,1
3901256,1,377,31,1
3901255,1,377,11,1
3901255,2,377,58,0
3901255,2,377,62,1
3901255,2,377,77,0
3901255,2,377,79,0
3901254,1,377,13,1
3901254,1,377,33,1
3901254,2,377,50,1
3901254,2,377,55,1
3901254,2,377,62,0
3901253,2,377,58,0
3901253,2,377,65,1
3901252,1,377,2,1
3901252,1,377,7,1
3901252,1,377,33,1
3901252,1,377,34,1
3901252,1,377,40,0
3901252,2,377,58,1
3901252,2,377,79,1
3901251,2,377,55,1
3901250,2,377,85,1
3901250,2,377,88,1
3901249,2,377,57,1
3901249,2,377,69,1
3901247,1,377,12,0
3901247,2,377,48,0
3901247,2,377,57,0
3901247,2,377,91,0
3901246,1,377,4,0
3901246,1,377,45,0
3901246,2,377,77,1
3901245,1,377,11,1
3901245,1,377,20,1
3901245,2,377,47,1
3901244,2,377,52,1
3901243,1,377,42,1
3901242,1,377,23,0
