match_id,period,n_matches,goal_time
3890561,1,306,6
3890561,1,306,13
3890561,1,306,40
3890561,2,306,55
3890561,2,306,88
3890505,1,306,19
3890511,1,306,3
3890511,1,306,17
3890511,2,306,57
3890511,2,306,71
3890515,1,306,37
3890515,2,306,53
3890515,2,306,90
3890411,1,306,33
3890411,2,306,53
3890397,1,306,29
3890401,1,306,5
3890401,1,306,23
3890401,2,306,56
3890401,2,306,60
3890401,2,306,85
3890396,1,306,20
3890396,2,306,77
3890384,1,306,2
3890384,1,306,18
3890384,1,306,39
3890384,2,306,89
3890384,2,306,64
3890385,2,306,50
3890385,2,306,72
3890385,2,306,80
3890385,2,306,81
3890282,1,306,14
3890282,1,306,28
3890282,2,306,46
3890287,1,306,42
3890287,2,306,76
3890287,2,306,89
3890269,1,306,22
3890269,1,306,33
3890269,1,306,41
3890269,2,306,83
3890269,2,306,88
3890268,1,306,5
3890268,1,306,25
3890402,1,306,33
3890402,2,306,69
3890402,2,306,91
3890564,1,306,10
3890564,1,306,35
3890564,2,306,61
3890564,2,306,73
3890563,1,306,15
3890563,1,306,30
3890563,1,306,36
3890563,2,306,60
3890563,2,306,68
3890562,1,306,10
3890562,1,306,26
3890562,1,306,42
3890562,2,306,74
3890560,1,306,30
3890560,2,306,62
3890559,1,306,11
3890559,1,306,27
3890559,2,306,53
3890559,2,306,65
3890557,2,306,87
3890556,1,306,10
3890556,1,306,28
3890556,2,306,77
3890556,2,306,91
3890555,1,306,14
3890555,1,306,23
3890555,2,306,81
3890553,1,306,13
3890552,1,306,5
3890552,1,306,36
3890552,2,306,52
3890552,2,306,76
3890551,2,306,72
3890550,1,306,19
3890550,1,306,42
3890550,2,306,78
3890549,2,306,81
3890549,2,306,88
3890548,1,306,14
3890548,1,306,31
3890548,1,306,41
3890547,1,306,27
3890546,1,306,9
3890546,1,306,25
3890546,1,306,41
3890546,2,306,52
3890546,2,306,63
3890546,2,306,79
3890546,2,306,85
3890546,1,306,32
3890544,1,306,16
3890544,1,306,36
3890544,2,306,83
3890543,1,306,10
3890543,1,306,20
3890543,1,306,44
3890543,2,306,79
3890542,1,306,6
3890542,1,306,8
3890542,2,306,58
3890542,2,306,76
3890542,2,306,77
3890542,2,306,85
3890541,1,306,5
3890541,2,306,71
3890540,1,306,1
3890540,1,306,15
3890540,1,306,20
3890539,1,306,11
3890539,2,306,55
3890539,2,306,82
3890537,1,306,17
3890537,1,306,27
3890537,2,306,83
3890536,1,306,44
3890536,2,306,53
3890536,2,306,60
3890536,1,306,6
3890535,1,306,0
3890535,2,306,56
3890534,1,306,13
3890534,1,306,28
3890534,2,306,53
3890534,2,306,55
3890534,2,306,59
3890533,2,306,47
3890533,2,306,78
3890532,1,306,9
3890532,1,306,24
3890532,2,306,57
3890532,2,306,81
3890531,1,306,3
3890531,1,306,11
3890531,1,306,34
3890531,2,306,51
3890531,2,306,74
3890530,1,306,20
3890530,1,306,44
3890530,2,306,55
3890529,1,306,4
3890529,1,306,31
3890529,2,306,64
3890528,1,306,37
3890528,1,306,43
3890528,2,306,85
3890527,1,306,7
3890527,2,306,48
3890527,2,306,63
3890527,2,306,73
3890527,2,306,81
3890526,2,306,53
3890526,2,306,64
3890526,2,306,72
3890525,2,306,50
3890525,2,306,84
3890524,1,306,25
3890524,1,306,32
3890524,2,306,84
3890523,1,306,31
3890523,1,306,35
3890523,2,306,63
3890523,2,306,82
3890523,2,306,86
3890522,1,306,35
3890521,2,306,69
3890521,2,306,75
3890521,2,306,89
3890520,2,306,48
3890520,2,306,59
3890519,1,306,38
3890519,1,306,43
3890518,2,306,48
3890518,2,306,50
3890518,2,306,55
3890518,2,306,65
3890517,2,306,86
3890516,2,306,51
3890516,2,306,62
3890516,2,306,88
3890516,1,306,30
3890514,1,306,42
3890514,2,306,52
3890514,2,306,85
3890513,2,306,51
3890513,2,306,65
3890512,2,306,61
3890512,2,306,89
3890510,1,306,13
3890510,2,306,59
3890510,2,306,75
3890510,2,306,79
3890510,2,306,84
3890509,2,306,68
3890509,2,306,90
3890508,1,306,28
3890508,1,306,46
3890508,2,306,64
3890507,2,306,52
3890507,2,306,68
3890507,2,306,73
3890507,2,306,76
3890507,2,306,81
3890506,1,306,25
3890506,1,306,44
3890506,1,306,47
3890506,2,306,50
3890504,2,306,60
3890504,2,306,72
3890504,2,306,74
3890503,1,306,8
3890503,1,306,12
3890503,1,306,23
3890503,1,306,39
3890503,2,306,52
3890503,2,306,75
3890502,1,306,26
3890502,2,306,72
3890502,2,306,86
3890501,1,306,15
3890501,1,306,44
3890501,2,306,68
3890501,2,306,74
3890500,1,306,10
3890500,2,306,48
3890499,1,306,19
3890499,1,306,22
3890499,1,306,29
3890499,2,306,66
3890498,2,306,81
3890498,2,306,92
3890497,1,306,32
3890496,2,306,53
3890496,2,306,68
3890496,2,306,74
3890495,1,306,9
3890494,1,306,37
3890494,1,306,47
3890493,2,306,78
3890493,2,306,82
3890493,2,306,58
3890492,1,306,17
3890491,1,306,29
3890491,2,306,72
3890490,1,306,42
3890490,2,306,60
3890489,1,306,8
3890489,1,306,30
3890489,2,306,65
3890489,2,306,85
3890489,2,306,89
3890488,1,306,35
3890488,2,306,52
3890488,2,306,78
3890487,1,306,11
3890487,1,306,39
3890487,2,306,62
3890487,2,306,89
3890486,1,306,2
3890485,1,306,3
3890485,1,306,8
3890485,2,306,55
3890485,2,306,60
3890485,2,306,78
3890485,2,306,83
3890484,1,306,41
3890484,2,306,64
3890483,2,306,57
3890483,2,306,74
3890480,1,306,1
3890480,1,306,22
3890480,1,306,32
3890480,2,306,75
3890479,1,306,7
3890479,2,306,68
3890478,1,306,17
3890478,1,306,25
3890478,1,306,44
3890478,2,306,55
3890478,2,306,66
3890477,1,306,4
3890477,1,306,43
3890477,2,306,56
3890477,2,306,59
3890477,2,306,92
3890477,2,306,79
3890476,1,306,4
3890476,1,306,41
3890476,2,306,50
3890476,2,306,72
3890476,2,306,77
3890476,2,306,82
3890475,1,306,14
3890475,1,306,16
3890475,1,306,22
3890474,1,306,25
3890474,2,306,63
3890474,2,306,85
3890473,1,306,3
3890473,1,306,36
3890473,2,306,65
3890473,2,306,76
3890473,2,306,90
3890472,1,306,4
3890472,2,306,54
3890472,2,306,64
3890472,2,306,82
3890472,2,306,68
3890471,1,306,15
3890471,2,306,59
3890471,2,306,67
3890471,2,306,90
3890470,2,306,62
3890470,2,306,77
3890469,1,306,24
3890469,1,306,39
3890469,2,306,80
3890468,1,306,37
3890468,2,306,52
3890467,1,306,35
3890467,2,306,71
3890466,1,306,35
3890466,2,306,58
3890466,2,306,61
3890466,2,306,68
3890464,1,306,24
3890464,2,306,79
3890464,2,306,84
3890464,2,306,91
3890463,1,306,13
3890463,1,306,31
3890463,2,306,57
3890463,2,306,64
3890462,1,306,32
3890462,2,306,49
3890462,2,306,52
3890462,2,306,54
3890461,1,306,6
3890461,2,306,60
3890460,1,306,17
3890460,1,306,31
3890460,2,306,82
3890459,1,306,32
3890459,1,306,43
3890459,2,306,81
3890459,2,306,88
3890458,2,306,65
3890458,2,306,73
3890457,1,306,42
3890456,2,306,63
3890455,1,306,13
3890455,2,306,73
3890454,1,306,13
3890453,1,306,25
3890453,2,306,48
3890453,2,306,70
3890453,2,306,83
3890452,1,306,10
3890452,1,306,12
3890452,2,306,67
3890452,2,306,75
3890452,2,306,77
3890451,2,306,52
3890451,2,306,59
3890450,1,306,8
3890449,1,306,11
3890449,2,306,89
3890447,1,306,13
3890447,1,306,40
3890447,2,306,79
3890447,2,306,87
3890447,1,306,37
3890446,1,306,14
3890446,2,306,61
3890446,2,306,77
3890446,2,306,85
3890445,1,306,28
3890445,1,306,38
3890444,1,306,27
3890444,2,306,76
3890444,2,306,61
3890443,1,306,9
3890443,1,306,12
3890442,2,306,56
3890441,2,306,50
3890441,2,306,83
3890440,1,306,23
3890440,1,306,28
3890440,2,306,56
3890440,2,306,71
3890439,1,306,32
3890439,2,306,45
3890439,2,306,78
3890438,1,306,40
3890438,2,306,46
3890437,1,306,32
3890437,2,306,84
3890436,1,306,13
3890436,2,306,58
3890436,2,306,84
3890434,1,306,23
3890433,1,306,26
3890433,1,306,45
3890433,2,306,51
3890433,2,306,64
3890433,2,306,75
3890433,2,306,89
3890432,1,306,23
3890432,1,306,34
3890432,2,306,86
3890430,1,306,11
3890430,1,306,30
3890430,2,306,49
3890430,2,306,55
3890430,2,306,69
3890430,2,306,87
3890429,2,306,66
3890429,2,306,74
3890428,1,306,31
3890428,2,306,63
3890427,1,306,43
3890427,2,306,62
3890427,2,306,86
3890425,1,306,28
3890425,1,306,40
3890425,2,306,66
3890425,2,306,70
3890425,2,306,74
3890425,2,306,76
3890424,1,306,42
3890424,2,306,52
3890423,2,306,74
3890423,2,306,87
3890423,2,306,65
3890422,2,306,76
3890422,2,306,85
3890421,1,306,20
3890420,1,306,24
3890420,2,306,65
3890420,2,306,72
3890420,2,306,78
3890420,2,306,92
3890419,1,306,3
3890419,1,306,42
3890419,2,306,53
3890419,2,306,88
3890418,1,306,9
3890418,1,306,30
3890418,2,306,46
3890417,1,306,40
3890417,2,306,49
3890417,2,306,57
3890417,2,306,74
3890416,1,306,40
3890415,1,306,39
3890415,2,306,74
3890413,1,306,18
3890413,1,306,35
3890413,2,306,50
3890413,2,306,82
3890412,1,306,36
3890412,2,306,60
3890412,2,306,52
3890410,1,306,27
3890410,1,306,43
3890410,2,306,50
3890410,2,306,66
3890410,2,306,85
3890409,2,306,72
3890408,1,306,13
3890408,1,306,21
3890408,1,306,30
3890408,2,306,46
3890407,1,306,39
3890406,1,306,17
3890406,2,306,81
3890406,2,306,89
3890405,1,306,28
3890405,1,306,30
3890405,2,306,47
3890404,2,306,75
3890403,1,306,27
3890400,1,306,3
3890400,2,306,78
