match_id,period,n_matches,goal_time,home
3825848,1,380,9,0
3825848,2,380,47,0
3825848,2,380,51,1
3825848,2,380,92,1
3825895,1,380,29,1
3825895,2,380,75,1
3825894,1,380,40,0
3825894,2,380,84,0
3825855,1,380,30,1
3825855,1,380,41,0
3825855,2,380,88,1
3825855,2,380,92,1
3825908,1,380,12,1
3825908,1,380,31,1
3825908,2,380,56,0
3825908,2,380,65,1
3825908,2,380,75,1
3825908,2,380,89,0
3825883,1,380,25,1
3825883,1,380,30,0
3825883,1,380,45,1
3825883,2,380,83,1
3825883,2,380,85,1
3825900,1,380,6,1
3825900,2,380,78,1
3825902,1,380,11,1
3825902,1,380,22,1
3825902,2,380,59,0
3825902,2,380,72,1
3825876,2,380,55,1
3825876,2,380,72,1
3825876,2,380,83,0
3825846,1,380,6,0
3825846,1,380,24,0
3825869,1,380,10,1
3825869,1,380,30,1
3825869,2,380,54,0
3825869,2,380,70,1
3825882,2,380,50,1
3825882,2,380,53,1
3825849,2,380,93,0
3825860,1,380,1,0
3825860,1,380,29,1
3825860,2,380,89,1
3825847,1,380,7,1
3825847,2,380,70,0
3825817,1,380,6,1
3825817,2,380,86,0
3825778,2,380,64,0
3825778,2,380,66,1
3825777,1,380,9,1
3825777,1,380,42,1
3825777,2,380,80,1
3825740,1,380,34,1
3825740,1,380,37,1
3825740,2,380,64,0
3825740,2,380,67,1
3825740,2,380,73,1
3825740,2,380,78,1
3825884,2,380,66,1
3825884,2,380,79,1
3825842,1,380,12,1
3825842,2,380,87,0
3825842,2,380,90,0
3825842,2,380,67,1
3825890,2,380,61,1
3825871,1,380,45,1
3825871,2,380,48,1
3825871,2,380,55,1
3825871,2,380,74,1
3825896,1,380,24,1
3825896,1,380,34,1
3825896,1,380,43,1
3825896,2,380,81,0
3825896,2,380,84,1
3825896,2,380,92,1
3825841,1,380,18,1
3825841,1,380,44,0
3825841,2,380,55,0
3825843,2,380,61,0
3825843,2,380,90,1
3825839,1,380,7,0
3825839,2,380,90,1
3825839,1,380,21,1
3825838,1,380,37,0
3825840,1,380,9,1
3825840,1,380,27,1
3825840,1,380,39,1
3825840,2,380,55,1
3825837,2,380,82,1
3825836,1,380,6,1
3825836,1,380,19,0
3825836,2,380,80,1
3825835,2,380,52,0
3825834,1,380,14,1
3825834,2,380,58,1
3825834,2,380,82,1
3825906,1,380,20,1
3825906,2,380,80,0
3825897,1,380,6,0
3825897,1,380,31,1
3825897,2,380,57,1
3825889,1,380,23,0
3825889,2,380,77,1
3825833,1,380,28,0
3825833,1,380,39,0
3825833,2,380,49,0
3825833,2,380,83,1
3825833,2,380,87,0
3825833,2,380,91,0
3825857,1,380,6,0
3825857,1,380,22,1
3825857,2,380,65,1
3825863,2,380,46,1
3825863,2,380,57,0
3825863,2,380,78,0
3825863,2,380,92,0
3825829,2,380,60,1
3825830,1,380,14,1
3825830,2,380,84,1
3825832,2,380,63,0
3825831,1,380,40,1
3825831,2,380,85,0
3825831,2,380,90,1
3825828,1,380,28,1
3825828,1,380,34,0
3825828,2,380,57,0
3825828,2,380,88,0
3825827,2,380,80,1
3825824,1,380,21,1
3825824,1,380,34,0
3825824,2,380,49,0
3825823,1,380,1,0
3825823,2,380,50,1
3825823,1,380,33,0
3825905,1,380,10,0
3825905,1,380,44,1
